year,State,City,pollutant,pollutant_rank,type,Latitude,Longitude
2000,Oklahoma,Ponca City,0.041106523,1,O3,36.704703,-97.00798
2000,North Carolina,Charlotte,0.035219866,2,O3,35.248292,-80.82748
2000,Oklahoma,Park Hill,0.034708019,3,O3,35.742956,-94.96737
2000,Kentucky,Paducah,0.032947262,4,O3,37.066543,-88.65687
2000,California,Victorville,0.031421954,5,O3,34.489466,-117.35321
2000,Kentucky,Ashland,0.028975523,6,O3,38.439526,-82.6932
2000,Pennsylvania,Norristown,0.028891219,7,O3,39.983153,-75.748055
2000,Texas,El Paso,0.028772603,8,O3,31.694842,-106.299987
2000,Texas,El Paso,0.028381354,9,O3,31.694842,-106.299987
2000,California,Lompoc,0.028303936,10,O3,34.639682,-120.4471
2001,Oklahoma,Ponca City,0.040246785,1,O3,36.704703,-97.00798
2001,Texas,El Paso,0.034390626,2,O3,31.694842,-106.299987
2001,North Carolina,Charlotte,0.032714585,3,O3,35.248292,-80.82748
2001,Oklahoma,Miami,0.03265901,4,O3,36.83408,-94.877031
2001,Kentucky,Paducah,0.032573243,5,O3,37.066543,-88.65687
2001,Pennsylvania,Norristown,0.032007483,6,O3,39.983153,-75.748055
2001,Oklahoma,Park Hill,0.031912018,7,O3,35.742956,-94.96737
2001,Pennsylvania,Lancaster,0.031568569,8,O3,40.0185,-76.297582
2001,Kentucky,Ashland,0.031431436,9,O3,38.439526,-82.6932
2001,California,Victorville,0.031322539,10,O3,34.489466,-117.35321
2002,Nevada,Boulder City,0.041216693,1,O3,35.927901,-114.972061
2002,California,Lompoc,0.036345963,2,O3,34.639682,-120.4471
2002,North Carolina,Charlotte,0.0358075,3,O3,35.248292,-80.82748
2002,Texas,El Paso,0.035346287,4,O3,31.694842,-106.299987
2002,Kentucky,Ashland,0.034529597,5,O3,38.439526,-82.6932
2002,Oklahoma,Ponca City,0.033285297,6,O3,36.704703,-97.00798
2002,Pennsylvania,York,0.033063452,7,O3,39.962463,-76.72887
2002,Pennsylvania,Lancaster,0.032741741,8,O3,40.0185,-76.297582
2002,Pennsylvania,Norristown,0.032149278,9,O3,39.983153,-75.748055
2002,California,Victorville,0.031875333,10,O3,34.489466,-117.35321
2003,Nevada,Boulder City,0.041386006,1,O3,35.927901,-114.972061
2003,Oklahoma,Ponca City,0.036152504,2,O3,36.704703,-97.00798
2003,Oklahoma,Miami,0.036097668,3,O3,36.83408,-94.877031
2003,Kentucky,Ashland,0.036091709,4,O3,38.439526,-82.6932
2003,Oklahoma,Park Hill,0.033943839,5,O3,35.742956,-94.96737
2003,California,Costa Mesa,0.03345366,6,O3,33.677224,-117.90863
2003,Texas,El Paso,0.033003279,7,O3,31.694842,-106.299987
2003,California,Crockett,0.032396868,8,O3,38.05282,-122.2234
2003,California,Fresno,0.032348462,9,O3,36.746375,-119.639658
2003,California,Victorville,0.031988079,10,O3,34.489466,-117.35321
2004,California,Los Angeles,0.037315545,1,O3,34.089459,-118.3285
2004,Oklahoma,Ponca City,0.036372958,2,O3,36.704703,-97.00798
2004,Texas,El Paso,0.03167482,3,O3,31.694842,-106.299987
2004,Oklahoma,Miami,0.031565167,4,O3,36.83408,-94.877031
2004,California,Victorville,0.030979909,5,O3,34.489466,-117.35321
2004,North Carolina,Charlotte,0.030796341,6,O3,35.248292,-80.82748
2004,Oklahoma,Park Hill,0.03074155,7,O3,35.742956,-94.96737
2004,California,Costa Mesa,0.030523606,8,O3,33.677224,-117.90863
2004,Pennsylvania,York,0.029912517,9,O3,39.962463,-76.72887
2004,New York,Holtsville,0.029893437,10,O3,40.922326,-72.637078
2005,Oklahoma,Miami,0.037411289,1,O3,36.83408,-94.877031
2005,Pennsylvania,Erie,0.035836545,2,O3,42.127807,-80.06351
2005,Pennsylvania,York,0.033474009,3,O3,39.962463,-76.72887
2005,Oklahoma,Park Hill,0.032518955,4,O3,35.742956,-94.96737
2005,Texas,El Paso,0.032268116,5,O3,31.694842,-106.299987
2005,North Carolina,Charlotte,0.032038828,6,O3,35.248292,-80.82748
2005,California,Victorville,0.03190734,7,O3,34.489466,-117.35321
2005,Michigan,Grand Rapids,0.031822974,8,O3,43.031413,-85.550267
2005,California,Chula Vista,0.031454179,9,O3,32.638654,-117.06686
2005,Pennsylvania,Lancaster,0.031401033,10,O3,40.0185,-76.297582
2006,Oklahoma,Park Hill,0.034775686,1,O3,35.742956,-94.96737
2006,Pennsylvania,Erie,0.033563642,2,O3,42.127807,-80.06351
2006,Maryland,Essex,0.033159006,3,O3,39.307737,-76.45171
2006,North Carolina,Charlotte,0.032401222,4,O3,35.248292,-80.82748
2006,California,Chula Vista,0.031522388,5,O3,32.638654,-117.06686
2006,California,Victorville,0.031498808,6,O3,34.489466,-117.35321
2006,Pennsylvania,Lancaster,0.031450633,7,O3,40.0185,-76.297582
2006,Pennsylvania,Norristown,0.031091254,8,O3,39.983153,-75.748055
2006,Texas,El Paso,0.031014458,9,O3,31.694842,-106.299987
2006,Virginia,Alexandria,0.030884136,10,O3,38.815762,-77.09005
2007,Pennsylvania,Erie,0.03469856,1,O3,42.127807,-80.06351
2007,Pennsylvania,York,0.033794651,2,O3,39.962463,-76.72887
2007,California,Chula Vista,0.033529465,3,O3,32.638654,-117.06686
2007,Pennsylvania,Lancaster,0.03295584,4,O3,40.0185,-76.297582
2007,California,Victorville,0.032692101,5,O3,34.489466,-117.35321
2007,California,Fresno,0.032199492,6,O3,36.746375,-119.639658
2007,Pennsylvania,Scranton,0.031923365,7,O3,41.401881,-75.637626
2007,Texas,El Paso,0.031854867,8,O3,31.694842,-106.299987
2007,Virginia,Annandale,0.031844141,9,O3,38.830345,-77.21387
2007,Pennsylvania,Bristol,0.031628698,10,O3,40.108943,-74.85548
2008,California,Victorville,0.034026209,1,O3,34.489466,-117.35321
2008,Pennsylvania,Erie,0.033702424,2,O3,42.127807,-80.06351
2008,California,Fresno,0.032941475,3,O3,36.746375,-119.639658
2008,Pennsylvania,Norristown,0.032887275,4,O3,39.983153,-75.748055
2008,California,Chula Vista,0.031921386,5,O3,32.638654,-117.06686
2008,Texas,El Paso,0.0318335,6,O3,31.694842,-106.299987
2008,Pennsylvania,Lancaster,0.030694992,7,O3,40.0185,-76.297582
2008,New York,Holtsville,0.030578187,8,O3,40.922326,-72.637078
2008,Connecticut,Westport,0.030499879,9,O3,41.140896,-73.35178
2008,California,Costa Mesa,0.029950923,10,O3,33.677224,-117.90863
2009,California,Victorville,0.035621385,1,O3,34.489466,-117.35321
2009,Oklahoma,Park Hill,0.033135583,2,O3,35.742956,-94.96737
2009,California,Chula Vista,0.032533455,3,O3,32.638654,-117.06686
2009,Ohio,Athens,0.031390595,4,O3,39.322847,-82.09728
2009,Pennsylvania,Erie,0.030815514,5,O3,42.127807,-80.06351
2009,California,Fresno,0.030075222,6,O3,36.746375,-119.639658
2009,Texas,Waco,0.029327945,7,O3,31.535916,-97.18588
2009,California,Costa Mesa,0.028809438,8,O3,33.677224,-117.90863
2009,New York,Holtsville,0.028709139,9,O3,40.922326,-72.637078
2009,Florida,Winter Park,0.028474348,10,O3,28.566338,-81.260818
2010,Virginia,Hampton,0.038141827,1,O3,37.072658,-76.38992
2010,Pennsylvania,Erie,0.035113047,2,O3,42.127807,-80.06351
2010,New York,Holtsville,0.03490895,3,O3,40.922326,-72.637078
2010,California,Victorville,0.034265264,4,O3,34.489466,-117.35321
2010,Virginia,Alexandria,0.033322995,5,O3,38.815762,-77.09005
2010,Pennsylvania,Bristol,0.031810404,6,O3,40.108943,-74.85548
2010,Connecticut,Westport,0.031335659,7,O3,41.140896,-73.35178
2010,Connecticut,Cornwall,0.031015705,8,O3,41.828067,-73.332345
2010,Pennsylvania,York,0.030882252,9,O3,39.962463,-76.72887
2010,Iowa,Davenport,0.03058088,10,O3,41.613034,-90.606284
2011,Oklahoma,Oklahoma City,0.039083457,1,O3,35.498461,-97.39314
2011,Virginia,Hampton,0.036181684,2,O3,37.072658,-76.38992
2011,Connecticut,Cornwall,0.035147359,3,O3,41.828067,-73.332345
2011,California,Fresno,0.033086448,4,O3,36.746375,-119.639658
2011,New Mexico,Albuquerque,0.032716853,5,O3,35.044339,-106.672872
2011,Texas,Waco,0.032432506,6,O3,31.535916,-97.18588
2011,Virginia,Alexandria,0.031547393,7,O3,38.815762,-77.09005
2011,Oklahoma,Tulsa,0.030893747,8,O3,36.096296,-95.8847
2011,California,Victorville,0.030750319,9,O3,34.489466,-117.35321
2011,Rhode Island,East Providence,0.030741,10,O3,41.8124,-71.36834
2012,Utah,Roosevelt,0.046820462,1,O3,40.328012,-110.01689
2012,California,Victorville,0.036620265,2,O3,34.489466,-117.35321
2012,Virginia,Alexandria,0.036241067,3,O3,38.815762,-77.09005
2012,Virginia,Hampton,0.035773712,4,O3,37.072658,-76.38992
2012,Connecticut,Cornwall,0.035259318,5,O3,41.828067,-73.332345
2012,Oklahoma,Oklahoma City,0.034558725,6,O3,35.498461,-97.39314
2012,California,Fresno,0.033123103,7,O3,36.746375,-119.639658
2012,Texas,El Paso,0.032496956,8,O3,31.694842,-106.299987
2012,Iowa,Des Moines,0.032263327,9,O3,41.672687,-93.572173
2012,Pennsylvania,Erie,0.032236804,10,O3,42.127807,-80.06351
2013,California,Victorville,0.038127937,1,O3,34.489466,-117.35321
2013,Connecticut,Cornwall,0.036681604,2,O3,41.828067,-73.332345
2013,South Dakota,Sioux Falls,0.03413656,3,O3,43.674582,-96.79134
2013,California,Long Beach,0.033215305,4,O3,33.786594,-118.298662
