State,year,NO2,O3,SO2,CO
Alabama,2013,0.020554744,2.06E-05,0.001278213,0.000359467
Alabama,2014,0.016033639,4.20E-05,0.002021324,0.000350803
Alabama,2015,0.015466065,4.09E-05,0.001719641,0.000376536
Alabama,2016,0.01622636,4.83E-05,0.001422687,0.000356924
Alaska,2014,0.050689172,4.48E-05,0.025876223,0.001980191
Alaska,2015,0.048332994,6.18E-05,0.026778309,0.001761832
Arizona,2000,0.31554102,0.000256662,0.025465065,0.008438855
Arizona,2001,0.252648216,0.000231531,0.018391694,0.007306905
Arizona,2002,0.266378793,0.000244038,0.0211109,0.007956372
Arizona,2003,0.264013416,0.000230484,0.020043858,0.007371583
Arizona,2004,0.227153717,0.000241741,0.017921986,0.00589186
Arizona,2005,0.225144285,0.000249861,0.016883507,0.006353057
Arizona,2006,0.22661124,0.000266334,0.017468817,0.005517091
Arizona,2007,0.203438111,0.000262125,0.015945599,0.005205786
Arizona,2008,0.19297331,0.00027564,0.013894434,0.004283544
Arizona,2009,0.181152643,0.000277089,0.010853895,0.004284975
Arizona,2010,0.176417296,0.000268536,0.010992372,0.003963426
Arizona,2011,0.117343242,0.000197236,0.004972884,0.002428601
Arizona,2012,0.122387148,0.000195364,0.005373466,0.002246912
Arizona,2013,0.106289665,0.000208587,0.004417779,0.002163735
Arizona,2014,0.108113976,0.000195172,0.005213344,0.002555691
Arizona,2015,0.086233602,0.000208829,0.003605093,0.002426369
Arizona,2016,0.118883667,0.000162231,0.003071215,0.003540358
Arkansas,2007,0.017333995,3.98E-05,0.005081181,0.000947044
Arkansas,2008,0.014455619,4.00E-05,0.002829919,0.000712918
Arkansas,2009,0.014704722,3.94E-05,0.002785153,0.000680523
Arkansas,2010,0.016084805,4.45E-05,0.002077965,0.000730922
Arkansas,2011,0.016048447,4.41E-05,0.00219539,0.000718853
Arkansas,2012,0.016991684,4.48E-05,0.002097452,0.000751386
Arkansas,2013,0.01574225,4.11E-05,0.002088813,0.000618027
Arkansas,2014,0.01424767,3.83E-05,0.001835427,0.000557865
Arkansas,2015,0.013846998,3.91E-05,0.001784962,0.000491998
Arkansas,2016,0.013924619,4.18E-05,0.001067202,0.000517802
California,2000,0.349325376,0.000451298,0.033285577,0.012521729
California,2001,0.388366523,0.000521467,0.037911474,0.013167333
California,2002,0.346326569,0.000555367,0.033806339,0.012406586
California,2003,0.326336328,0.000537981,0.030847573,0.011937957
California,2004,0.275028949,0.000478465,0.03026305,0.009362101
California,2005,0.234037709,0.000448555,0.025837707,0.007814053
California,2006,0.240043441,0.000484657,0.022368194,0.008069136
California,2007,0.266198955,0.000549182,0.023468933,0.008507643
California,2008,0.26970913,0.000588053,0.022537988,0.008265825
California,2009,0.246811339,0.000520845,0.018261534,0.007363156
California,2010,0.255402333,0.000502565,0.016442297,0.007288567
California,2011,0.219503502,0.000496037,0.0141036,0.006999392
California,2012,0.200513317,0.000498623,0.011067716,0.006173362
California,2013,0.202167571,0.000488043,0.008994111,0.006278895
California,2014,0.185393083,0.000473396,0.00931025,0.005908326
California,2015,0.15990836,0.000463401,0.008133215,0.005527592
California,2016,0.095680823,0.000303623,0.007638247,0.004248578
Colorado,2000,0.036347485,4.16E-05,0.005214775,0.00149119
Colorado,2001,0.062886343,3.99E-05,0.005945605,0.001530642
Colorado,2002,0.048217837,5.03E-05,0.005479954,0.001217712
Colorado,2003,0.051397752,4.74E-05,0.004788566,0.001340711
Colorado,2004,0.052793191,4.20E-05,0.004630607,0.001504506
