State,year,pollutant,bin,State_abbr
North Carolina,2001,0.035389971824229587,1,NC
New York,2002,0.027499370062577258,1,NY
Missouri,2003,0.034295696001117378,1,MO
Oklahoma,2003,0.032125263149065206,1,OK
Pennsylvania,2004,0.10740913540044643,3,PA
New Mexico,2014,0.032901360722911506,1,NM
Tennessee,2016,0.00182597684821849,1,TN
New York,2016,0.010949573667047078,1,NY
Kansas,2001,0.035956236750821442,1,KS
Nevada,2002,0.029653971634232387,1,NV
New York,2003,0.025278143368504542,1,NY
Maine,2008,0.026825830114932194,1,ME
Virginia,2011,0.027934084116805216,1,VA
New York,2013,0.010993352331005101,1,NY
Connecticut,2014,0.076588578534691823,2,CT
Illinois,2014,0.015800922069620017,1,IL
Tennessee,2015,0.0013999504331350251,1,TN
Arizona,2000,0.31554101953917429,8,AZ
Indiana,2005,0.017593922908475949,1,IN
California,2007,0.26619895530601684,7,CA
Pennsylvania,2009,0.043133328744191679,2,PA
Maryland,2010,0.029901510134742425,1,MD
Illinois,2012,0.027279785451767333,1,IL
Ohio,2012,0.025466138266259403,1,OH
Georgia,2013,0.014983602479301033,1,GA
Maine,2014,0.016334337453605897,1,ME
Pennsylvania,2016,0.016470847572932861,1,PA
Virginia,2000,0.085350837905594418,3,VA
Arizona,2001,0.25264821592602787,7,AZ
Indiana,2002,0.021798808126246676,1,IN
New Jersey,2002,0.082126850655507039,3,NJ
Missouri,2004,0.028777538656759628,1,MO
Arizona,2005,0.2251442851466679,6,AZ
Missouri,2006,0.01364092772193326,1,MO
Virginia,2010,0.032718347532308581,1,VA
New York,2012,0.011100645265444541,1,NY
Utah,2013,0.080448729536267652,3,UT
Kansas,2014,0.01720893072791093,1,KS
New Hampshire,2014,0.017628242154716298,1,NH
North Dakota,2015,0.010994946975645025,1,ND
Maine,2015,0.020407122019125486,1,ME
Florida,2016,0.010134444568346784,1,FL
Indiana,2000,0.020329229217097722,1,IN
Illinois,2001,0.052900276541034137,2,IL
Massachusetts,2003,0.044371419940017851,2,MA
Nevada,2003,0.023223707205057859,1,NV
Colorado,2005,0.12638423538878218,4,CO
Oklahoma,2007,0.025196929626356966,1,OK
New York,2010,0.016923858672889616,1,NY
South Carolina,2010,0.0037425960154765154,1,SC
Kentucky,2013,0.016656672070723067,1,KY
Arizona,2016,0.11888366668223646,3,AZ
California,2004,0.27502894936013705,7,CA
Illinois,2008,0.035196065944651869,1,IL
Idaho,2009,0.023214086526086527,1,ID
North Dakota,2010,0.013857548863118812,1,ND
Indiana,2012,0.013085721466068703,1,IN
Oklahoma,2012,0.030155601531864994,1,OK
Maryland,2013,0.044228575834028928,2,MD
Delaware,2013,0.18291740480882931,5,DE
Indiana,2014,0.014451541833186466,1,IN
Pennsylvania,2014,0.041617762078469477,2,PA
Maryland,2015,0.050097627880533596,2,MD
California,2001,0.38836652258754034,10,CA
Kansas,2004,0.028341106769097586,1,KS
New Jersey,2005,0.033655639013153604,1,NJ
Pennsylvania,2006,0.11970814002505945,4,PA
North Carolina,2008,0.01457503689453944,1,NC
Maryland,2008,0.052033591583368566,2,MD
Massachusetts,2010,0.033634615409167921,1,MA
Texas,2011,0.033118558271114852,1,TX
North Dakota,2012,0.011718627230825444,1,ND
Wyoming,2015,0.029110700682617226,1,WY
New Mexico,2015,0.031679185608743249,1,NM
North Carolina,2015,0.01810251156673777,1,NC
Washington,2015,0.019501179099462366,1,WA
California,2005,0.23403770924626111,6,CA
North Dakota,2008,0.013677074601269082,1,ND
Massachusetts,2008,0.038813984928804945,1,MA
Texas,2009,0.034546863623547107,1,TX
Georgia,2011,0.021239976645240275,1,GA
Massachusetts,2014,0.030712486787460035,1,MA
Alabama,2015,0.015466065088018177,1,AL
Nevada,2015,0.13173759467329876,4,NV
