State,year,pollutant,bin,State_abbr
North Carolina,2000,7.753941906064223e-05,2,NC
Massachusetts,2002,4.3929723763681514e-05,1,MA
Illinois,2004,3.1756440758121433e-05,1,IL
Oklahoma,2005,0.00011792621294013388,2,OK
Illinois,2005,3.8331720855485163e-05,1,IL
Illinois,2007,5.2501399273756172e-05,1,IL
Missouri,2007,3.2742507521975969e-05,1,MO
Colorado,2009,6.5323948170731692e-05,1,CO
Iowa,2011,5.9488446646886757e-05,1,IA
Indiana,2011,4.4907659285383891e-05,1,IN
Colorado,2013,0.00021068291728249845,4,CO
Pennsylvania,2013,0.00010760811590042797,2,PA
Wyoming,2008,0.00022623573151125392,4,WY
Kansas,2008,3.4454782917541486e-05,1,KS
Pennsylvania,2010,0.00012539043567949155,2,PA
Delaware,2012,0.00044909039548022607,7,DE
Maryland,2012,0.00011723904462629784,2,MD
Colorado,2014,0.00019736125844691872,3,CO
Maine,2016,5.8865833540155043e-05,1,ME
Kansas,2000,9.5992070883296369e-05,2,KS
Massachusetts,2001,3.7858443331816105e-05,1,MA
New Jersey,2003,6.6599112243358912e-05,1,NJ
Oklahoma,2006,9.0545314634334e-05,2,OK
Illinois,2009,4.7927693634382818e-05,1,IL
Connecticut,2011,0.00043063192655992411,7,CT
Arkansas,2012,4.4829458914752534e-05,1,AR
Georgia,2012,3.4970070522477688e-05,1,GA
South Dakota,2014,7.8922783029785137e-05,2,SD
Utah,2014,0.00010878445051056515,2,UT
Alabama,2014,4.2010475730377075e-05,1,AL
New Hampshire,2015,0.0001188545823357276,2,NH
Florida,2001,4.4580029310931418e-05,1,FL
North Carolina,2005,4.1662975171621258e-05,1,NC
Pennsylvania,2007,0.00026737958892753867,4,PA
Wyoming,2007,0.00022963752833039529,4,WY
Arizona,2008,0.00027564000322238672,5,AZ
Louisiana,2011,5.0874883364436152e-05,1,LA
Maryland,2011,6.0174176237927792e-05,1,MD
Massachusetts,2013,4.2582573811058212e-05,1,MA
Louisiana,2014,4.7044671571971555e-05,1,LA
Alaska,2015,6.1815794566945473e-05,1,AK
California,2001,0.00052146681967529687,8,CA
Kansas,2004,7.6352923925229919e-05,2,KS
New Jersey,2005,4.0548437929454878e-05,1,NJ
Pennsylvania,2006,0.00027197404026628067,4,PA
North Carolina,2008,3.6475104514825518e-05,1,NC
Maryland,2008,0.00010859728859465145,2,MD
Massachusetts,2010,4.3790523268978446e-05,1,MA
Texas,2011,9.4778122965338344e-05,2,TX
North Dakota,2012,6.4020298754953475e-05,1,ND
Wyoming,2015,0.0004090104504799569,6,WY
New Mexico,2015,8.4560681174349718e-05,2,NM
North Carolina,2015,6.974399745625675e-05,2,NC
Washington,2015,4.3283254128264221e-05,1,WA
Indiana,2003,3.9756693760458996e-05,1,IN
New Hampshire,2005,0.0001043702124299139,2,NH
Indiana,2007,4.2362557259960214e-05,1,IN
Texas,2007,6.57677785175133e-05,1,TX
Arkansas,2008,4.0015659866814268e-05,1,AR
North Dakota,2009,6.44508930152815e-05,1,ND
Massachusetts,2011,4.1125782994126184e-05,1,MA
Maine,2012,0.00010277254174813401,2,ME
Iowa,2012,6.3088816325808074e-05,1,IA
Oklahoma,2013,0.00013315131824195679,2,OK
Ohio,2014,4.5286239642838058e-05,1,OH
Massachusetts,2016,4.6476103777878916e-05,1,MA
Indiana,2016,3.5295637749506471e-05,1,IN
Kentucky,2000,0.00020472370291270073,3,KY
Arizona,2002,0.00024403787838462757,4,AZ
Iowa,2008,5.7451216751717909e-05,1,IA
New York,2009,4.8121643127030562e-05,1,NY
Oregon,2009,5.0134508585494734e-05,1,OR
Nevada,2010,0.00018048910891089109,3,NV
Arizona,2012,0.00019536414384658163,3,AZ
North Dakota,2013,7.4961237851662414e-05,2,ND
Arkansas,2013,4.1121235079064465e-05,1,AR
Maine,2013,0.00011610065700595211,2,ME
Rhode Island,2014,0.00041068405130925039,6,RI
Arizona,2014,0.00019517214618453669,3,AZ
Alaska,2014,4.4811197473888751e-05,1,AK
Nevada,2014,0.00031178672809477472,5,NV
Indiana,2015,3.4855707086866107e-05,1,IN
Georgia,2016,3.138155706727135e-05,1,GA
Missouri,2002,5.9609106227962514e-05,1,MO
Texas,2004,4.72112893601564e-05,1,TX
New Hampshire,2004,0.00010673977743271222,2,NH
Louisiana,2007,4.5147041117673787e-05,1,LA
Arizona,2007,0.00026212520976932055,4,AZ
New York,2007,2.8665834763320968e-05,1,NY
Arizona,2010,0.00026853627329563872,4,AZ
South Dakota,2011,7.6934980628805066e-05,2,SD
Illinois,2011,5.6999409572976054e-05,1,IL
Nevada,2012,0.00031259592959295923,5,NV
Arizona,2013,0.00020858702979887988,4,AZ
Wyoming,2013,0.00022316424179028794,4,WY
Nevada,2001,0.0003053288850624193,5,NV
Pennsylvania,2001,0.00022508818327993528,4,PA
Indiana,2001,4.2756290341859904e-05,1,IN
Texas,2002,3.7617878951079992e-05,1,TX
Pennsylvania,2003,0.000208660780484032,4,PA
North Carolina,2004,8.0026090618513462e-05,2,NC
Oregon,2008,4.9841963605182944e-05,1,OR
Texas,2008,0.00010354047663019354,2,TX
Kansas,2009,3.6655755353021119e-05,1,KS
Iowa,2010,6.045797320641731e-05,1,IA
Wyoming,2011,0.00019685638365104762,3,WY
Wyoming,2012,0.00021035519992181694,4,WY
North Carolina,2013,3.3076298173542978e-05,1,NC
Texas,2013,0.00010789333532320932,2,TX
Rhode Island,2013,0.00042104117927906423,7,RI
Iowa,2016,6.5971061602790979e-05,1,IA
North Carolina,2016,7.5799864364071133e-05,2,NC
California,2016,0.00030362322712363364,5,CA
New York,2000,2.7321880081625941e-05,1,NY
Arizona,2004,0.0002417414148668692,4,AZ
Texas,2005,5.1883159638707233e-05,1,TX
Colorado,2006,0.00010034563293803483,2,CO
Indiana,2008,3.8230739766419981e-05,1,IN
Maryland,2009,5.6282712710630328e-05,1,MD
Virginia,2009,0.00012423833401803544,2,VA
Idaho,2011,4.7613951266125183e-05,1,ID
Rhode Island,2011,0.00043297183098591537,7,RI
Iowa,2013,6.0607996885514707e-05,1,IA
Illinois,2015,4.0192030614383442e-05,1,IL
Colorado,2015,0.00017884976389925743,3,CO
Illinois,2016,3.828783650240747e-05,1,IL
Wyoming,2016,0.00022243472222222224,4,WY
Kansas,2016,3.5655003342990872e-05,1,KS
Tennessee,2002,6.0586838196093594e-05,1,TN
Florida,2003,4.32040784081874e-05,1,FL
Arizona,2003,0.00023048357844414883,4,AZ
Rhode Island,2012,0.00044312301204487212,7,RI
Texas,2012,0.00010873809003424917,2,TX
