State,year,pollutant,bin,State_abbr
Louisiana,2000,0.00737643635146748,2,LA
Kentucky,2001,0.0274802635850838,5,KY
Michigan,2002,0.0076688893655137294,2,MI
Connecticut,2006,0.011837396425495264,3,CT
Indiana,2006,0.013209484428497186,3,IN
Wisconsin,2007,0.0032135848229132022,1,WI
Florida,2010,0.00027267755861402627,1,FL
Utah,2011,0.0038011760926438907,1,UT
Arizona,2011,0.0049728844814121579,1,AZ
South Dakota,2012,0.001207049712155367,1,SD
Hawaii,2012,0.0090781872468703971,2,HI
Massachusetts,2012,0.0021721137065737976,1,MA
Virginia,2012,0.0023173443301205097,1,VA
New Jersey,2000,0.010640526829066493,2,NJ
Colorado,2002,0.00547995388087859,1,CO
New Hampshire,2003,0.0052515822614486408,1,NH
Michigan,2004,0.0053480484088277548,1,MI
Missouri,2005,0.0066000722704607781,2,MO
Michigan,2006,0.0043524764339082627,1,MI
South Carolina,2008,0.0021639155960768062,1,SC
Colorado,2008,0.013913819045152272,3,CO
Virginia,2008,0.014112249502231115,3,VA
Maine,2009,0.0074471967653950994,2,ME
North Carolina,2009,0.0010431098829648898,1,NC
Tennessee,2009,0.0012531569711648311,1,TN
Illinois,2010,0.0050774961291805759,1,IL
Nevada,2011,0.0049724919164519177,1,NV
Colorado,2012,0.0070840413464163844,2,CO
New Mexico,2012,0.0018326829365486444,1,NM
Hawaii,2014,0.010272886012391066,2,HI
Maryland,2014,0.007052990506084939,2,MD
California,2014,0.0093102502915793951,2,CA
Nevada,2016,0.0037561337268342218,1,NV
Kansas,2003,0.0060451283722777489,2,KS
Illinois,2003,0.0076545989496291812,2,IL
Indiana,2004,0.0062845735800104155,2,IN
Texas,2006,0.0032795851576022461,1,TX
Missouri,2008,0.0029115842540770047,1,MO
Florida,2009,0.000224042544110786,1,FL
North Dakota,2011,0.00070860626078034824,1,ND
Oklahoma,2011,0.0044482303700301967,1,OK
Louisiana,2012,0.001662099000454339,1,LA
Oregon,2012,0.0016365438327867804,1,OR
Florida,2012,0.00010998143387171579,1,FL
Virginia,2013,0.0024461247138522616,1,VA
Ohio,2013,0.0043349668426418565,1,OH
Illinois,2013,0.0012213829530623834,1,IL
Wyoming,2014,0.0028409573633619931,1,WY
Kansas,2015,0.0024058215372561092,1,KS
California,2003,0.030847572565013404,6,CA
Texas,2003,0.00518614433996403,1,TX
Florida,2004,0.0011961215172685436,1,FL
New Jersey,2004,0.0095011292160105051,2,NJ
Maine,2011,0.0034206917278020933,1,ME
California,2011,0.014103599996520708,3,CA
New Jersey,2014,0.0019935164865215013,1,NJ
Oklahoma,2015,0.0017446703137852584,1,OK
Hawaii,2015,0.010990199333695128,2,HI
Kentucky,2015,0.0006507204825320701,1,KY
South Dakota,2015,0.00092527225481115589,1,SD
Oklahoma,2016,0.0025123858254983947,1,OK
