State,City,Date,year,dayofweek,month,NO2,O3,SO2,C0
California,Fresno,2003-07-11,2003,6,7,16.217391499999998,0.044,2.2692544999999997,0.521739
California,Fresno,2003-05-01,2003,5,5,15.5217395,0.027354,1.0428575,0.26087
California,Fresno,2003-06-16,2003,2,6,13.6086955,0.049687499999999996,2.317857,0.5666665
California,Fresno,2003-07-05,2003,7,7,10.347826,0.0476875,2.1642855,0.4
California,Fresno,2003-05-07,2003,4,5,6.586957,0.036292000000000005,0.60559,0.0
California,Fresno,2003-06-29,2003,1,6,7.326087,0.055125,1.3472825,0.0
California,Fresno,2003-04-25,2003,6,4,9.391304,0.0394375,0.7279500000000001,0.114583
California,Fresno,2003-01-22,2003,4,1,20.303442,0.0096875,1.5833335000000002,1.3625
California,Fresno,2003-05-12,2003,2,5,12.456522,0.0434585,1.3642859999999999,0.2041665
California,Fresno,2003-01-26,2003,1,1,12.5,0.011083,0.96118,0.704167
California,Fresno,2003-01-05,2003,1,1,15.456522,0.014249999999999999,0.9347825,0.49855099999999997
California,Fresno,2003-02-18,2003,3,2,15.006521500000002,0.0109305,1.7769564999999998,0.7395835
California,Fresno,2003-05-08,2003,5,5,6.3043475,0.0377915,0.6304345,0.0
California,Fresno,2003-05-17,2003,7,5,9.152174,0.0485,1.5714285000000001,0.0708335
California,Fresno,2003-01-04,2003,7,1,18.0652175,0.0044585,1.543478,1.1208335
California,Fresno,2003-03-20,2003,5,3,11.043478,0.026958,0.757143,0.266667
California,Fresno,2003-07-14,2003,2,7,19.173913,0.043895500000000004,1.8,0.5869565
California,Fresno,2003-08-04,2003,2,8,11.4130435,0.0374165,1.4347824999999998,0.5
California,Fresno,2003-05-19,2003,2,5,14.717391,0.0428125,1.9214284999999998,0.1304345
California,Fresno,2003-07-12,2003,7,7,10.304347499999999,0.040041999999999994,1.5763975000000001,0.5
California,Fresno,2003-07-15,2003,3,7,19.7391305,0.053625000000000006,1.443789,0.677083
California,Fresno,2003-05-10,2003,7,5,8.304348000000001,0.036896,0.792857,0.0
California,Fresno,2003-03-22,2003,7,3,16.869565,0.028292,1.086957,1.104167
California,Fresno,2003-02-27,2003,5,2,17.826087,0.015792,0.7661495,0.717391
California,Fresno,2003-07-02,2003,4,7,13.618993,0.046719,2.6180555,0.265954
